branch	sha
msikernel-capstone-join-v4	4d8390d112b45bac231b0ecc116b2142e1d64773
msikernel-compiled-applicability-v13	877c7fe30cb8b89b175960a5de3c290a154d2c7f
msikernel-context-refinement-v10	6000064256f41959b1ee6080239ac1f792fb788b
msikernel-contextual-accessibility-v9	f89097fcef7230caddda624c88d5bfe567e14554
msikernel-cross-presentation-traversal-genesis-v24	3e1891103bc4eb29f92496730bc13c787500c33c
msikernel-decomposition-operator-genesis-v23	2467c0de9961628ed474a398936155e282cd8019
msikernel-developmental-hypergraph-v8	2a601b8231e063bf84f5b0baeeb8b7802d25b525
msikernel-discovered-stage3-v7	b5e677c494c1d5d7adba9bdded5313d33efc2afd
msikernel-distributional-geometry-v10	3d0e2964215de1093e3b0d59e0cd4a07832f3138
msikernel-endogenous-closure-genesis-v26	ff5e846e2bfe8d323496400e35f7f10698a75fce
msikernel-feature-language-genesis-v14	0fa509664a3044ee95398943355d35bfa9dc2cf1
msikernel-generative-applicability-v13	f19f158ec66f984105e7bae5d1f8c3c22151b6aa
msikernel-lineage-certificate-v17	e1a1e0941e19cdeaa5992aedb3a559dae99aa527
msikernel-long-horizon-genesis-v6	8ad622374c79e68f518e9693ecff4aaa718620cb
msikernel-measurement-action-genesis-v25	1210a8579d89ed9fe143ed898ff2cc7a5cdf32d8
msikernel-measurement-experiment-genesis-v25	480451dca59de16627b8de31d43ec70f6bdc144f
msikernel-observation-closure-boundary-v23	ea36dae6581ae275e9b7277ca1b7f897a7a8e99b
msikernel-observation-genesis-v3	c8c611b4fa2f4d40192d0f9c86a42c8c566e323a
msikernel-online-closure-interpreter-v27	2fa86175756bb3c77eb5fbd4f7d9ffb72c20eab5
msikernel-operator-alphabet-genesis-v16	94b63a2896c087acdd5cb639661cd7708c1e5570
